Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6604401d504a1fbe54f40a72,65b92135e296f28cb1a093c3,APPROVED,Not Applicable,2024-03-27T15:50:24.355000Z,2024-03-27T16:05:31.105000Z,2024-03-28T15:57:00.474000Z,2024-03-27T16:05:53.893395Z,907,C1NU7187,491,English,65,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6604403019c8f6393ba21abc,656f385c6028ee0f0159b7be,APPROVED,Not Applicable,2024-03-27T15:50:20.038000Z,2024-03-27T16:05:55.148000Z,2024-03-28T17:07:15.946000Z,2024-03-27T16:06:25.846234Z,936,C1NU7187,440,English,40,Female,White,United States,United States,United States,English,No,Part-Time
66044060db9472b1078f4e69,65aaf74b028a4828c08a4630,APPROVED,Not Applicable,2024-03-27T15:51:07.098000Z,2024-03-27T15:59:53.415000Z,2024-03-28T15:57:46.424000Z,2024-03-27T15:59:58.273086Z,527,C1NU7187,334,English,78,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6604407ec96b1874e1df2a4c,628f572a2d1304a34b9e1a37,APPROVED,Not Applicable,2024-03-27T15:51:38.426000Z,2024-03-27T15:57:00.547000Z,2024-03-28T15:57:47.477000Z,2024-03-27T15:57:13.153890Z,323,C1NU7187,4243,English,75,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
660440e6dfe22062149d854b,65cbbd44c0db5f5e848d0b20,APPROVED,Not Applicable,2024-03-27T15:53:20.188000Z,2024-03-27T15:58:23.129000Z,2024-03-28T16:06:09.981000Z,2024-03-27T15:58:25.518058Z,303,C1NU7187,22,English,25,Female,Asian,United States,United States,United States,English,Yes,Other
66044116753153c5afa5f5ec,63e52250d3c1483ed7be8ed8,APPROVED,Not Applicable,2024-03-27T15:54:07.319000Z,2024-03-27T16:21:29.708000Z,2024-03-28T16:03:50.612000Z,2024-03-27T16:21:31.763655Z,1643,C1NU7187,3038,English,48,Female,Asian,Philippines,United States,United States,DATA_EXPIRED,No,DATA_EXPIRED
66044126a4dfafc4761a7bca,63d89eb9781fd5479e5c175a,APPROVED,Not Applicable,2024-03-27T15:54:19.934000Z,2024-03-27T16:01:12.860000Z,2024-03-28T16:04:57.011000Z,2024-03-27T16:01:14.081459Z,413,C1NU7187,532,English,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6604413e900b29a7e45aa418,583ec287ad2f4300014b355a,APPROVED,Not Applicable,2024-03-27T15:54:38.659000Z,2024-03-27T16:10:19.163000Z,2024-03-28T15:57:01.403000Z,2024-03-27T16:10:20.395059Z,941,C1NU7187,5035,English,67,Male,White,United States,United States,United States,English,No,Part-Time
660441426acc930f82014501,6392360efb6e254ffd31e722,APPROVED,Not Applicable,2024-03-27T15:54:50.273000Z,2024-03-27T16:04:41.754000Z,2024-03-28T16:04:06.507000Z,2024-03-27T16:04:48.973104Z,592,C1NU7187,3060,"English, Chinese, Japanese",49,Male,Asian,United States,United States,United States,English,No,Full-Time
6604414ac2b70d28e020ca37,5e3f4c676d06fc1b240e6021,APPROVED,Not Applicable,2024-03-27T15:55:21.546000Z,2024-03-27T16:08:52.516000Z,2024-03-28T15:57:02.134000Z,2024-03-27T16:09:25.735122Z,811,C1NU7187,6446,English,67,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
6604414f504a1fbe54f40add,60b69129f584ee4e38acf2a0,APPROVED,Not Applicable,2024-03-27T15:55:11.404000Z,2024-03-27T16:02:43.322000Z,2024-03-28T17:13:47.695000Z,2024-03-27T16:02:45.173004Z,452,C1NU7187,2413,"English, Spanish",44,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
660441519fb6481a2a85cfbb,5c1ffe5295f978000173df84,APPROVED,Not Applicable,2024-03-27T15:54:57.112000Z,2024-03-27T16:01:35.734000Z,2024-03-28T15:57:02.922000Z,2024-03-27T16:01:37.986696Z,399,C1NU7187,2151,English,65,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
660441520879de13df91e585,5b233660648d5b0001b7de87,APPROVED,Not Applicable,2024-03-27T15:55:05.639000Z,2024-03-27T16:26:58.685000Z,2024-03-28T15:57:04.207000Z,2024-03-27T16:28:34.538237Z,1914,C1NU7187,6634,English,70,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6604417adf16c49343ca93a7,5c2fc98237733700013b646b,APPROVED,Not Applicable,2024-03-27T15:55:45.802000Z,2024-03-27T16:04:45.883000Z,2024-03-28T15:57:04.940000Z,2024-03-27T16:04:54.736033Z,541,C1NU7187,2563,English,74,Male,White,United States,United States,United States,English,No,Part-Time
6604417cc83ebc0f7c25ce2f,60dd09edc00654d72f6259b3,APPROVED,Not Applicable,2024-03-27T15:55:46.235000Z,2024-03-27T16:05:18.345000Z,2024-03-28T16:04:17.449000Z,2024-03-27T16:05:35.333536Z,573,C1NU7187,279,English,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6604417cfba1d63e94e194ea,6510652e8c348ca500c8677c,APPROVED,Not Applicable,2024-03-27T15:55:49.429000Z,2024-03-27T16:06:11.768000Z,2024-03-28T15:57:05.750000Z,2024-03-27T16:07:05.112447Z,623,C1NU7187,1574,English,72,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66044180a57f0627cc77b567,628f7e982aad1788d940317a,APPROVED,Not Applicable,2024-03-27T15:55:44.428000Z,2024-03-27T16:04:59.968000Z,2024-03-28T15:57:06.580000Z,2024-03-27T16:05:10.029290Z,556,C1NU7187,4170,English,70,Male,White,United States,United States,United States,English,No,Other
660441827ca22e08250f1d32,6506fb8c1609b3c2918bccb4,APPROVED,Not Applicable,2024-03-27T15:55:52.126000Z,2024-03-27T15:59:51.057000Z,2024-03-28T16:04:01.271000Z,2024-03-27T15:59:52.716196Z,239,C1NU7187,1097,English,35,Male,Other,United States,United States,United States,English,No,Full-Time
6604418b7c72b66759e4a54a,5e34325430e5263f0bebb32d,APPROVED,Not Applicable,2024-03-27T15:57:13.713000Z,2024-03-27T16:05:41.645000Z,2024-03-28T15:57:07.370000Z,2024-03-27T16:06:06.333662Z,508,C1NU7187,2554,English,69,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6604418f1c4f4f082854c7d9,63e55808e2a9efc0cd65e879,APPROVED,Not Applicable,2024-03-27T15:56:06.022000Z,2024-03-27T16:09:36.612000Z,2024-03-28T15:57:08.155000Z,2024-03-27T16:09:38.857107Z,811,C1NU7187,2202,English,68,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66044192ad11ae9fa6cce98f,628bb31571a8935ee2dbd6f9,APPROVED,Not Applicable,2024-03-27T15:56:13.080000Z,2024-03-27T16:06:19.698000Z,2024-03-28T15:57:08.918000Z,2024-03-27T16:07:26.984568Z,607,C1NU7187,3375,English,67,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
660441a38590e9dd5222ca63,5484655ffdf99b07b28f22cc,APPROVED,Not Applicable,2024-03-27T15:59:26.984000Z,2024-03-27T16:07:51.556000Z,2024-03-28T15:57:48.107000Z,2024-03-27T16:08:56.779186Z,505,C1NU7187,5205,English,76,Male,White,United States,United States,United States,English,No,Full-Time
660441a4bada65b7bd4ba1ea,5eeeb45360a44437a971aebc,APPROVED,Not Applicable,2024-03-27T15:56:54.240000Z,2024-03-27T16:01:12.230000Z,2024-03-28T16:03:09.144000Z,2024-03-27T16:01:13.668929Z,258,C1NU7187,1981,English,23,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
