Start Date,End Date,Duration (in seconds),Finished,Recorded Date,Response ID,User Language,Consent,Nationality,PID,Group,Own words,More or less,More or less info used,Effectiveness,Precision,Precision info used,Precision info - just CI,Precision info - CI included at all,Understandable,Helpful,Actionable,Concise,Attention1,Credible,Recommendation,Q1,Q2,Q3,Q4,Q5,Q9,Q7a,Q8,Q10,Q11,Q6,Q13a,Q13b,Q12,Q7b,Attention2,Stat experience,SBMH experience,PROLIFIC_PID,NUMScore,NUMZ,NUMRank
3/27/2024 12:04,3/27/2024 12:09,327,TRUE,3/27/2024 12:09,R_7sSZ7SOSocLfwcx,EN,I consent to participate in this study.,United States,5fbb89e20ddd50a66ab62a67,2,Depression is unmeasurable.,Unsure,,1,0 - Not at all precise,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,90,,60,,,,,,,,16,,,20,,Green,51,51,5fbb89e20ddd50a66ab62a67,5,-0.113,45.50%
3/30/2024 8:44,3/30/2024 8:51,457,TRUE,3/30/2024 8:51,R_3n6GMrXaX6Rmh5W,EN,I consent to participate in this study.,United States,5ef7ae31033dea4dde0b24de,2,Depression prevention programs had only a slight positive effect on students involved in the studies.,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,2,3 - Somewhat precise,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,0,0,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Strongly disagree,Neither agree or disagree,Disagree,90,,30,,,,,,,,10,,,20,,Green,20,1,5ef7ae31033dea4dde0b24de,5,-0.113,45.50%
3/27/2024 11:50,3/27/2024 11:55,283,TRUE,3/27/2024 11:55,R_1oT7UaCcKUnZJ3w,EN,I consent to participate in this study.,United States,56c4adcf8bacd70005cf8edc,2,Depression prevention programs help decrease depression symptoms.,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,3 - Somewhat effective,3 - Somewhat precise,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,0,0,Somewhat disagree,Neither agree or disagree,Neither agree or disagree,Agree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,90,,30,,,,,,,,16,,,20,,Green,2,0,56c4adcf8bacd70005cf8edc,5,-0.113,45.50%
3/27/2024 10:55,3/27/2024 11:11,954,TRUE,3/27/2024 11:11,R_52bDyGepI7H9NLK,EN,I consent to participate in this study.,United States,645e55f22a5d4cdc6fd7bf23,2,I assume they consider this as using this app is meaningful an affective ,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,5,4,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,0,0,Somewhat agree,Somewhat agree,Agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,75,268,,,60,,,,20,,,,,,,Green,32,34,645e55f22a5d4cdc6fd7bf23,3,-1.317,9.39%
4/9/2024 7:15,4/9/2024 7:35,1238,TRUE,4/9/2024 7:35,R_3XgGJumbH08vCfF,EN,I consent to participate in this study.,United States,65ba553fe0355d80a0c50334,2,I will describe it has a success to a colleague because more than half the students passed,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,4,4,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,0,0,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,90,,84,,,,,,,,,20,,,,Green,61,50,65ba553fe0355d80a0c50334,8,1.575,94.24%
3/27/2024 15:13,3/27/2024 15:23,599,TRUE,3/27/2024 15:23,R_5Y9ULtGLXfJUy9d,EN,I consent to participate in this study.,United States,5fc1ffc15478a5319b85ecd2,2,I would say that the depression prevention program is a success. As 55% who participated have lower depression scores compared to the average control group. ,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,4,5,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,0,0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,100,268,,,5,,,,6,,,,,,,Green,50,0,5fc1ffc15478a5319b85ecd2,4,-0.76,22.36%
3/27/2024 12:05,3/27/2024 12:13,446,TRUE,3/27/2024 12:13,R_1epERqkQcs8B6PT,EN,I consent to participate in this study.,United States,58642f4de16d530001b34622,2,No clear change.,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,1,5,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,0,0,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,80,268,,,20,,,,,80,,,,,,Green,0,0,58642f4de16d530001b34622,5,0.067,52.67%
3/27/2024 11:43,3/27/2024 11:51,445,TRUE,3/27/2024 11:51,R_1hAsHiCPmykONLp,EN,I consent to participate in this study.,United States,653d24b26d450d5f684b5011,2,The depression prevention program is a good thing for lowering depression.,Less,"95% Confidence Interval [52%, 58%]",3 - Somewhat effective,4,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,0,0,Agree,Agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,52,278,,14,,25,,,,,,,,,,Green,1,2,653d24b26d450d5f684b5011,3,-1.058,14.50%
4/3/2024 14:55,4/3/2024 15:05,595,TRUE,4/3/2024 15:05,R_3EbrlEgM24UdcIP,EN,I consent to participate in this study.,United States,63c729dc513a1d0918f99d98,2,the depression prevention program is obviously helping those that need it,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,5,4,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,0,0,Agree,Agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,100,300,,14,,50,,,,,,,,,,Green,60,20,63c729dc513a1d0918f99d98,2,-1.659,4.86%
3/27/2024 10:07,3/27/2024 10:18,629,TRUE,3/27/2024 10:18,R_1Rgg8LGbiqAOSXB,EN,I consent to participate in this study.,United States,65f626f778b358ac9108ee52,2,The findings show just a few over half the students benefit from this program.,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,3 - Somewhat effective,3 - Somewhat precise,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,0,0,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Strongly disagree,Neither agree or disagree,Somewhat agree,149,536,,14,,25,,,,,,,,,,Green,1,0,65f626f778b358ac9108ee52,3,-1.058,14.50%
3/27/2024 11:42,3/27/2024 11:49,380,TRUE,3/27/2024 11:49,R_3uwt5zDO2hdZn3z,EN,I consent to participate in this study.,United States,65579a461be67cd550bfd63d,2,The programs helped over half of the participants ,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,4,5,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,0,0,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Strongly disagree,Neither agree or disagree,Somewhat agree,66,268,,,20,,,,,80,,,,,,Green,72,63,65579a461be67cd550bfd63d,5,0.067,52.67%
3/27/2024 9:55,3/27/2024 10:06,615,TRUE,3/27/2024 10:06,R_80MZrL2cLywaHs3,EN,I consent to participate in this study.,United States,6510652e8c348ca500c8677c,2,The programs helped the kids,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,5,3 - Somewhat precise,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,0,0,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,Somewhat agree,Agree,30,268,,,5,,,,6,,,,,,,Green,1,2,6510652e8c348ca500c8677c,4,-0.76,22.36%
3/27/2024 12:00,3/27/2024 12:11,652,TRUE,3/27/2024 12:11,R_3rZoBpPogsrtuta,EN,I consent to participate in this study.,United States,56c79f6cc41c43000c0886b0,2,The students in the depression prevention group had lower depression scores.,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,4,4,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,0,0,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,25,268,,,5,,,,4,,,,,,,Green,78,79,56c79f6cc41c43000c0886b0,3,-1.317,9.39%
3/27/2024 10:43,3/27/2024 10:55,723,TRUE,3/27/2024 10:55,R_33OUjyuYKXOd9mN,EN,I consent to participate in this study.,United States,652d163aaef63b67ff87f20a,2,"These findings indicate that in the depression prevention programs, 55% of students had lower depression scores compared to the average student in the control group. This suggests that the programs are effective in reducing depression symptoms among a significant portion of participating students.",Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,4,4,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,0,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,90,,84,,,,25,,,,,,20,,,Green,68,71,652d163aaef63b67ff87f20a,9,2.213,98.66%
3/27/2024 12:31,3/27/2024 12:44,749,TRUE,3/27/2024 12:44,R_8tG52NZRzzuCDeM,EN,I consent to participate in this study.,United States,62da97c1d0ea5d209bdef664,2,These findings show that school programs designed to prevent depression can help reduce symptoms in students. About 55% of students in these programs had lower depression scores compared to those who didn't participate. This suggests that these programs might be effective in lessening feelings of depression among students.,Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,6 - Very effective,6 - Very precise,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,0,0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,75,230,,14,,25,,,,,,,,,,Green,100,100,62da97c1d0ea5d209bdef664,3,-1.058,14.50%
3/27/2024 11:24,3/27/2024 11:26,151,TRUE,3/27/2024 11:26,R_20vfpqHI9Vk40ib,EN,I consent to participate in this study.,United States,6475f1d696be138189f68303,2,"These findings suggest that, on average, 55% of students who participated in depression prevention programs experienced lower levels of depression compared to the typical student in the control group. ",Less,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,5,5,55% of students in the depression prevention programs had lower depression scores compared to the average control group student,0,0,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,90,,84,,,,25,,,,,,20,,,Green,76,78,6475f1d696be138189f68303,9,2.213,98.66%
